structure,tenor,rule,param,width,trades,win_rate,mean_ror,median_ror,total_ror,worst_ror,net_pct_width,frac10_end,frac10_maxdd,full_ruin_trade
long_call,monthly,delta,0.3,1,47,0.2978723404255319,0.8306970698020126,-1.0,39.042762280694596,-1.0,,552226.4,-0.5443359999999999,1.0
long_call,monthly,delta,0.4,1,47,0.3617021276595745,0.6235429147010094,-1.0,29.306516990947443,-1.0,,428163.0000000001,-0.489108,1.0
long_call,two_week,delta,0.3,1,113,0.2920353982300885,0.5965304233377804,-1.0,67.40793783716919,-1.0,,2085993.4000000018,-0.7408700720588584,1.0
long_call,monthly,delta,0.5,1,47,0.3829787234042553,0.5126066804418591,-1.0,24.09251398076738,-1.0,,403537.4,-0.4792780000000001,1.0
long_call,two_week,delta,0.4,1,113,0.34513274336283184,0.43014603365852055,-1.0,48.606501803412826,-1.0,,1116919.2000000004,-0.6938501195352097,1.0
long_call,weekly,delta,0.3,1,211,0.25118483412322273,0.3868709577711163,-1.0,81.62977208970554,-1.0,,690396.8000000012,-0.9149372593471103,1.0
long_call,monthly,delta,0.6,1,47,0.44680851063829785,0.3650877890737587,-0.8486328124999998,17.15912608646666,-1.0,,269907.8,-0.46830400000000005,1.0
bull_call,monthly,delta,0.4,5,47,0.3404255319148936,0.3432234287508479,-1.0,16.13150115128985,-1.0,-0.24346070921985813,205843.6000000001,-0.5673437471198126,1.0
long_call,two_week,delta,0.5,1,113,0.3893805309734513,0.3207073568372622,-1.0,36.23993132261063,-1.0,,610627.8,-0.6641451324794221,1.0
bull_call,two_week,delta,0.4,5,112,0.3482142857142857,0.30389874030635006,-1.0,34.036658914311204,-1.0,-0.21104958333333332,461622.9999999999,-0.6731368667408395,1.0
long_call,two_week,delta,0.6,1,113,0.40707964601769914,0.25577571318332365,-0.49098474341192766,28.90265558971557,-1.0,,531868.4000000001,-0.5179766952700862,1.0
bull_call,two_week,delta,0.4,3,113,0.36283185840707965,0.24085568522975775,-1.0,27.216692430962627,-1.0,-0.2761215339233038,316291.9999999997,-0.6510489317794046,1.0
long_call,weekly,delta,0.4,1,211,0.2985781990521327,0.23804414166956303,-1.0,50.2273138922778,-1.0,,303266.2000000009,-0.8892624812020443,1.0
bull_call,two_week,otm_step,1.0,5,112,0.38392857142857145,0.22451204134365918,-1.0,25.145348630489828,-1.0,-0.2832714285714285,286067.3999999998,-0.6150589778497682,1.0
bull_call,monthly,delta,0.4,3,47,0.40425531914893614,0.20904661679147282,-1.0,9.825190989199223,-1.0,-0.3273210831721469,150913.0,-0.48785983220183216,1.0
bull_call,weekly,delta,0.4,5,184,0.31521739130434784,0.2064998667916381,-1.0,37.99597548966141,-1.0,-0.18245045289855072,267886.2000000024,-0.78424902921298,1.0
bull_call,monthly,otm_step,1.0,5,47,0.44680851063829785,0.19440405483101447,-1.0,9.13699057705768,-1.0,-0.3554979736575481,158260.20000000004,-0.44614200000000015,1.0
bull_call,monthly,delta,0.5,5,47,0.44680851063829785,0.1923575161336847,-1.0,9.040803258283182,-1.0,-0.32167456940222894,152892.79999999996,-0.4565880000000001,1.0
long_call,weekly,delta,0.5,1,211,0.35545023696682465,0.18978288567563176,-1.0,40.0441888775583,-1.0,,273390.80000000057,-0.7836200523924296,1.0
bull_call,weekly,otm_step,1.0,5,186,0.34408602150537637,0.1775854626739062,-1.0,33.03089605734655,-1.0,-0.23963853046594982,238812.40000000148,-0.7335493747720216,1.0
bull_call,two_week,otm_step,1.0,3,113,0.3893805309734513,0.17106117548851818,-1.0,19.329912830202556,-1.0,-0.361952802359882,211293.39999999994,-0.6092141009581759,1.0
bull_call,two_week,delta,0.5,5,112,0.39285714285714285,0.16967311021098488,-1.0,19.003388343630306,-1.0,-0.2897857142857143,193214.99999999983,-0.6384289378463353,1.0
bull_call,two_week,delta,0.4,2,113,0.37168141592920356,0.1628879473111541,-1.0,18.406338046160414,-1.0,-0.3324601769911504,173830.1999999999,-0.650030769485787,1.0
bull_call,two_week,delta,0.6,5,113,0.45132743362831856,0.16193578311920254,-0.3351477449455673,18.298743492469885,-1.0,-0.3744949852507375,259313.8,-0.5091860000000001,1.0
long_put,weekly,delta,0.3,1,211,0.26066350710900477,0.158730864295033,-1.0,33.49221236625196,-1.0,,40822.39999999948,-0.9402538517681647,2.0
bull_call,weekly,delta,0.4,3,205,0.32682926829268294,0.15565134729368732,-1.0,31.9085261952059,-1.0,-0.2367918699186992,132368.60000000105,-0.7876783311306907,1.0
bull_call,two_week,otm_step,0.0,5,113,0.4336283185840708,0.15523061800178814,-0.4130675526024371,17.54105983420206,-1.0,-0.3548896755162242,234156.60000000003,-0.5351379999999999,1.0
bull_call,monthly,delta,0.5,3,47,0.46808510638297873,0.13048757054396953,-1.0,6.132915815566568,-1.0,-0.40609361702127655,125269.8,-0.42006,1.0
bull_call,weekly,delta,0.5,5,195,0.3641025641025641,0.12651356851045356,-1.0,24.670145859538444,-1.0,-0.2510112698412698,126319.20000000027,-0.729136941575317,1.0
bull_call,weekly,delta,0.5,3,207,0.3961352657004831,0.12433381925066561,-1.0,25.73710058488778,-1.0,-0.3251561996779388,152725.20000000048,-0.7229441450946065,1.0
bull_call,monthly,otm_step,0.0,5,47,0.46808510638297873,0.11785606457312003,-0.769703172978506,5.539235034936642,-1.0,-0.4034034837502922,123496.40000000005,-0.44044400000000006,1.0
bull_call,two_week,delta,0.5,3,113,0.3893805309734513,0.11554388219388673,-1.0,13.0564586879092,-1.0,-0.37047787610619465,129139.19999999987,-0.6416434784389302,1.0
long_call,weekly,delta,0.6,1,211,0.3886255924170616,0.11312149787162437,-0.5709281961471101,23.86863605091274,-1.0,,158341.40000000026,-0.6852639999999997,1.0
bull_call,monthly,otm_step,1.0,3,47,0.46808510638297873,0.11235730806860576,-1.0,5.280793479224471,-1.0,-0.42725876393110424,117606.60000000003,-0.4403039999999999,1.0
bull_call,two_week,delta,0.7,5,113,0.5221238938053098,0.11084999708963546,0.0573476702508957,12.526049671128806,-1.0,-0.47727197640117996,202598.8000000001,-0.5028439999999997,1.0
bull_call,weekly,otm_step,1.0,3,205,0.3463414634146341,0.10824043823555185,-1.0,22.18928983828813,-1.0,-0.2972682926829268,84661.20000000033,-0.7482095419331664,1.0
bull_call,monthly,delta,0.4,2,47,0.3617021276595745,0.10414885722157637,-1.0,4.894996289414089,-1.0,-0.36767494089834524,98692.00000000001,-0.5092966213397123,1.0
bull_call,monthly,delta,0.6,5,47,0.48936170212765956,0.0959918677171559,-0.769703172978506,4.5116177827063275,-1.0,-0.4247375263034838,113182.4,-0.44228999999999996,1.0
long_put,weekly,delta,0.4,1,211,0.3080568720379147,0.09440527314405803,-1.0,19.919512633396245,-1.0,,38539.399999999594,-0.9129660393872527,2.0
bull_call,two_week,otm_step,1.0,2,113,0.40707964601769914,0.0806088150229507,-1.0,9.108796097593428,-1.0,-0.41930088495575224,98123.19999999991,-0.6485180000000001,1.0
bull_call,monthly,delta,0.5,2,47,0.44680851063829785,0.07487205485596818,-1.0,3.5189865782305043,-1.0,-0.4669276595744681,101112.59999999998,-0.43284200000000006,1.0
bull_call,two_week,delta,0.6,3,113,0.4690265486725664,0.06897297416007069,-0.09659090909090705,7.793946080087988,-1.0,-0.4718053097345133,118997.20000000004,-0.5393920000000001,1.0
bull_call,two_week,otm_step,0.0,3,113,0.4424778761061947,0.068080745755037,-0.30455635491606703,7.693124270319181,-1.0,-0.4500530973451327,112560.40000000008,-0.5802519999999999,1.0
bull_call,weekly,delta,0.4,2,211,0.3412322274881517,0.06613218299203177,-1.0,13.953890611318705,-1.0,-0.28416113744075827,38645.00000000061,-0.8563005755413852,1.0
bull_call,monthly,otm_step,0.0,2,47,0.44680851063829785,0.05404994930445321,-0.5436105476673434,2.540347617309301,-1.0,-0.5714255319148936,90941.2,-0.5355880000000002,1.0
bull_call,weekly,otm_step,0.0,5,197,0.39086294416243655,0.04427504309338761,-0.68904244817374,8.72218348939736,-1.0,-0.31131954314720806,56220.20000000014,-0.734202921343897,1.0
bull_call,weekly,delta,0.6,5,197,0.40609137055837563,0.04148352134079533,-0.5776397515527951,8.172253704136681,-1.0,-0.32869441624365486,56516.00000000013,-0.6998040000000001,1.0
bull_put,two_week,delta,0.3,1,107,0.7757009345794392,0.03971143452605073,0.282051282051282,4.249123494287428,-1.0,0.22998878504672898,131485.8000000002,-0.3623879999999997,1.0
bull_call,monthly,otm_step,1.0,2,47,0.46808510638297873,0.03924572117712319,-1.0,1.84454889532479,-1.0,-0.4927872340425532,88270.19999999998,-0.4560080000000001,1.0
bull_call,monthly,otm_step,0.0,3,47,0.48936170212765956,0.03828028795514955,-0.6955345060893103,1.799173533892029,-1.0,-0.4928964539007092,92123.79999999999,-0.46005399999999996,1.0
bull_call,two_week,delta,0.7,3,113,0.5221238938053098,0.03622930984889543,0.1393939393939407,4.093912012925183,-1.0,-0.5954542772861356,102571.80000000005,-0.5510199999999998,1.0
bull_call,monthly,delta,0.7,5,47,0.48936170212765956,0.03413360106101799,-0.07126611068991684,1.6042792498678455,-1.0,-0.5595059777102331,95493.00000000001,-0.42205799999999993,1.0
bull_put,monthly,delta,0.1,3,43,0.9534883720930233,0.03250575053880324,0.07681263460157933,1.3977472731685392,-1.0,0.07191140022767929,113556.4,-0.1428976513994994,31.0
bull_call,two_week,delta,0.4,1,113,0.39823008849557523,0.032019271466237946,-1.0,3.618177675684888,-1.0,-0.4273451327433629,55478.39999999989,-0.643508,1.0
bull_call,two_week,delta,0.5,2,113,0.40707964601769914,0.031575284110520845,-1.0,3.5680071044888555,-1.0,-0.4254955752212389,60954.79999999996,-0.6372420000000002,1.0
bull_put,two_week,otm_step,1.0,3,112,0.6875,0.03054592673852135,0.2500008680561584,3.421143794714391,-1.0,0.28703003246753245,117244.20000000004,-0.4579839999999996,1.0
bull_put,two_week,delta,0.3,3,112,0.8035714285714286,0.028697746827875775,0.21457489878542513,3.214147644722087,-1.0,0.19395282931354357,122758.20000000001,-0.2650760000000001,1.0
bull_put,two_week,otm_step,1.0,5,109,0.7247706422018348,0.024077576148061185,0.2106537530266344,2.6244558001386693,-1.0,0.24764211446046308,114380.80000000005,-0.42256799999999983,1.0
bull_put,two_week,delta,0.3,2,111,0.7837837837837838,0.021612243446342872,0.2562814070351759,2.3989590225440587,-1.0,0.21644664664664662,111705.60000000012,-0.3280261061166404,1.0
bull_call,weekly,delta,0.7,5,199,0.457286432160804,0.021070990370653138,-0.1423670668953688,4.193127083759975,-1.0,-0.4278894472361809,57804.800000000134,-0.6558019999999999,1.0
bull_call,weekly,otm_step,1.0,2,210,0.3523809523809524,0.020468495452399278,-1.0,4.298384045003848,-1.0,-0.35498095238095234,22412.000000000167,-0.810663274343407,1.0
bull_put,monthly,delta,0.1,2,45,0.9333333333333333,0.018511068957181836,0.07526881720430109,0.8329981030731826,-1.0,0.07210074074074077,107138.20000000001,-0.16244454663492747,28.0
bull_put,two_week,delta,0.2,2,110,0.8454545454545455,0.01811800273562698,0.14547687527554426,1.9929803009189677,-1.0,0.1294490909090909,113912.00000000009,-0.19006508659489163,6.0
bull_call,weekly,delta,0.5,2,211,0.38388625592417064,0.015751997738277224,-1.0,3.3236715227764946,-1.0,-0.3912796208530806,28596.000000000102,-0.7602879999999991,1.0
bull_put,two_week,delta,0.2,1,107,0.8317757009345794,0.01310349755221398,0.17096018735363,1.4020742380868958,-1.0,0.14804610591900313,105604.80000000002,-0.3050880288915335,6.0
bull_put,monthly,delta,0.15,3,46,0.8695652173913043,0.011852051547805715,0.1261362816535604,0.5451943711990629,-1.0,0.11274057971014492,102815.39999999998,-0.18087399999999998,1.0
bull_call,monthly,delta,0.6,3,47,0.46808510638297873,0.010467179066759159,-0.6955345060893103,0.4919574161376805,-1.0,-0.519804255319149,82315.99999999999,-0.460564,1.0
bull_put,two_week,delta,0.3,5,106,0.7830188679245284,0.009404563380183705,0.16063363483944137,0.9968837182994728,-1.0,0.16400174165457188,102454.20000000004,-0.19187999999999983,6.0
bull_put,two_week,otm_step,1.0,2,111,0.6666666666666666,0.009246257596896314,0.3123359580052494,1.0263345932554908,-1.0,0.31325225225225234,88942.60000000015,-0.5162199999999997,1.0
bull_call,two_week,delta,0.6,2,113,0.5221238938053098,0.007905559558284007,0.047835990888384756,0.8933282300860927,-1.0,-0.5427522123893807,66746.40000000004,-0.5959819999999999,1.0
bull_put,monthly,delta,0.2,5,45,0.8222222222222222,0.00566610442448408,0.1296882060551288,0.2549746991017836,-1.0,0.13072797720797724,99297.80000000002,-0.15198599999999995,1.0
bull_put,monthly,delta,0.1,5,37,0.9459459459459459,0.00437086408943127,0.05307497893850043,0.161721971308957,-0.9593495934959351,0.05401006650170738,101807.8,-0.13833738140829555,
bull_put,two_week,delta,0.2,3,108,0.8425925925925926,0.003762087318687112,0.12443778110944528,0.4063054304182081,-1.0,0.11762654320987653,97692.40000000002,-0.17329760367935143,6.0
bull_put,monthly,delta,0.2,3,47,0.8297872340425532,0.003124472518004305,0.15919629057187018,0.14685020834620233,-1.0,0.15192604771115412,97183.2,-0.26958000000000004,1.0
bull_call,two_week,otm_step,0.0,2,113,0.4778761061946903,0.0024268143831010125,-0.12698412698412445,0.2742300252904144,-1.0,-0.5225840707964602,62543.399999999994,-0.599882,1.0
bull_put,two_week,otm_step,2.0,5,106,0.7547169811320755,0.0008914048992717925,0.15687181860249885,0.09448891932281,-1.0,0.19430772686433068,91673.80000000005,-0.3968559999999999,1.0
bull_put,two_week,delta,0.15,3,107,0.8598130841121495,-0.0030484754377662683,0.08853410740203192,-0.3261868718409907,-1.0,0.08554410324877615,92757.8,-0.21422606464913407,6.0
bull_put,two_week,otm_step,2.0,3,109,0.7522935779816514,-0.004910572535617597,0.2057877813504823,-0.5352524063823181,-1.0,0.22636360856269117,83065.80000000002,-0.42313199999999984,1.0
bull_call,weekly,delta,0.4,1,211,0.36018957345971564,-0.005350420141527525,-1.0,-1.1289386498623077,-1.0,-0.3769952606635071,14548.600000000199,-0.8957355685574133,1.0
bull_put,two_week,delta,0.15,2,109,0.8623853211009175,-0.0058000202028414116,0.09769484083424806,-0.6322022021097139,-1.0,0.09634189602446484,89339.59999999999,-0.1827673608932343,6.0
bull_put,two_week,otm_step,3.0,3,109,0.7981651376146789,-0.008062897285946249,0.1398176291793313,-0.8788558041681411,-1.0,0.171480956352516,82888.39999999995,-0.3862479999999997,1.0
bull_call,weekly,otm_step,1.0,1,211,0.3886255924170616,-0.008715543690436985,-1.0,-1.8389797186822037,-1.0,-0.4543507109004739,13745.000000000138,-0.8932457034211072,1.0
bull_put,two_week,delta,0.1,1,107,0.9065420560747663,-0.009168481828069853,0.06837606837606844,-0.9810275556034743,-1.0,0.06727757009345794,86884.99999999991,-0.2326120630215427,6.0
bull_call,weekly,delta,0.6,3,210,0.4523809523809524,-0.010925870133157723,-0.4836901219424995,-2.294432727963122,-1.0,-0.4185904761904762,24941.600000000064,-0.7661379999999997,1.0
bull_put,two_week,delta,0.1,2,102,0.9019607843137255,-0.011733572782961813,0.062135190687956754,-1.1968244238621049,-1.0,0.06009803921568628,85460.59999999998,-0.28635034401445913,6.0
bull_put,two_week,delta,0.15,1,109,0.8715596330275229,-0.012307500742823847,0.10864745011086471,-1.3415175809677993,-1.0,0.10229541284403672,81792.79999999999,-0.3374561291437761,6.0
bull_put,two_week,otm_step,3.0,5,101,0.7821782178217822,-0.013576980824825878,0.10864745011086475,-1.3712750633074138,-1.0,0.15682321879246747,80544.4,-0.3689279999999999,1.0
bull_call,weekly,otm_step,0.0,3,210,0.43333333333333335,-0.013668815467662934,-0.5139784946236554,-2.870451248209216,-1.0,-0.40796507936507936,22930.200000000037,-0.7973139999999996,1.0
