week,entry,expiry,K,spot0,prem_pct,S_E,move_pct,intr_pct,hedge_pct,net_pct,gate,equity
1,2022-01-03,2022-01-07,72.0,72.10000000000001,0.0639389736477115,59.74,-0.17142857142857149,0.17004160887656028,-0.06047023578363388,0.045632399445214904,ON,104563.23994452148
2,2022-01-06,2022-01-14,65.5,65.54,0.10833079035703386,64.48,-0.016173329264571268,0.015563014952700578,0.0906969026548673,-0.0020708727494659863,ON,104346.7027803245
3,2022-01-13,2022-01-21,60.33,60.2,0.1154485049833887,43.71,-0.2739202657807309,0.27607973421926907,-0.091059734219269,0.06957149501661136,ON,111606.25889280568
4,2022-01-20,2022-01-28,46.0,45.99,0.14894542291802565,38.41,-0.16481843879104163,0.16503587736464456,0.025029049793433254,0.0,off,111606.25889280568
5,2022-01-27,2022-02-04,36.0,36.36,0.19526952695269525,43.46,0.1952695269526954,0.2051705170517052,-0.021424532453245326,0.0,off,111606.25889280568
6,2022-02-03,2022-02-11,43.0,42.63,0.15482054890921884,39.54,-0.07248416608022523,0.08116349988271172,0.13073908045977015,0.057082031433263014,ON,117976.9708710737
7,2022-02-10,2022-02-18,46.0,46.42,0.13894872899612237,39.63,-0.14627315812149932,0.1372253339077983,0.08919049978457569,0.08746710469625163,ON,128296.07493400053
8,2022-02-17,2022-02-25,41.0,40.870000000000005,0.15537068754587716,41.78,0.022265720577440584,0.019084903352092026,0.0621150232444336,-0.07417076094935154,ON,118780.25742933068
9,2022-02-24,2022-03-04,40.0,39.940000000000005,0.15222834251377063,34.77,-0.12944416624937405,0.13094641962944406,0.026441962944416805,0.005160040060090239,ON,119393.16831601386
10,2022-03-03,2022-03-11,38.0,37.55,0.15419440745672439,30.69,-0.18268974700399454,0.1946737683089214,-0.010231105193075879,0.03024825565912116,ON,123004.60339518913
11,2022-03-10,2022-03-18,33.0,32.75,0.16763358778625956,39.17,0.19603053435114504,0.18839694656488554,0.018171114503816716,0.03893447328244271,ON,127793.72283969658
12,2022-03-17,2022-03-25,37.0,36.95,0.13694181326116373,42.010000000000005,0.13694181326116373,0.13558863328822746,0.03863502029769952,0.03728184032476324,ON,132558.1080091132
13,2022-03-24,2022-04-01,42.0,42.09,0.12900926585887382,36.29,-0.1377999524827751,0.1356616773580423,0.00028453314326442247,0.006936944642432897,ON,133477.65626627806
14,2022-03-31,2022-04-08,39.0,38.78,0.12377514182568333,28.290000000000003,-0.27050025786487875,0.2761732851985559,-0.11245337802991229,0.03994476534296026,ON,138809.38992436285
15,2022-04-06,2022-04-14,31.0,30.51,0.1419206817436906,25.610000000000003,-0.16060308095706322,0.1766633890527695,-0.05002769583743028,-0.015284988528351397,ON,136687.6899917415
16,2022-04-14,2022-04-22,26.0,25.610000000000003,0.1272940257711831,24.450000000000003,-0.04529480671612651,0.060523233112065485,0.05567188598203823,-0.011098906677079396,ON,135170.6060766176
17,2022-04-21,2022-04-29,26.0,26.21,0.14727203357497137,22.24,-0.1514689049980924,0.14345669591758875,0.10290942388401365,0.09909408622663105,ON,148565.21377047992
18,2022-04-28,2022-05-06,26.0,25.58,0.16966379984362784,23.35,-0.08717748240813128,0.10359655981235336,0.13918768569194698,0.07312044566067248,ON,159428.3684110505
19,2022-05-05,2022-05-13,24.0,23.99,0.19591496456857027,22.49,-0.06252605252188415,0.06294289287203009,0.11060254272613586,-0.02236952897040432,ON,155862.0309051752
20,2022-05-12,2022-05-20,19.5,19.41,0.20092735703245748,20.36,0.048943843379701146,0.044307058217413674,0.1279587326120555,-0.028661566202988313,ON,151394.78098785432
21,2022-05-19,2022-05-27,20.5,20.51,0.17406143344709898,25.26,0.2315943442223305,0.2320819112627987,-0.0700765967820575,-0.012056118966357776,ON,149569.54749737907
22,2022-05-26,2022-06-03,22.5,22.540000000000003,0.13220940550133095,23.93,0.06166814551907707,0.0634427684117125,0.0783532830523515,0.009586645962733028,ON,151003.41779604263
23,2022-06-02,2022-06-10,26.0,26.200000000000003,0.12862595419847328,18.81,-0.2820610687022902,0.27442748091603053,-0.14240206106870232,0.0033994656488549563,ON,151516.74872769997
24,2022-06-09,2022-06-17,21.0,21.09,0.1541014698909436,13.7,-0.3504030346135609,0.34613560929350407,-0.1373547652916074,0.05467937411095308,ON,159801.58971545714
25,2022-06-16,2022-06-24,14.0,13.57,0.1798084008843036,15.81,0.16507000736919686,0.13338246131171705,0.016172660280029512,-0.030253279292557035,ON,154967.0675904008
26,2022-06-23,2022-07-01,14.0,14.01,0.1484653818700928,11.6,-0.17201998572448252,0.17130620985010708,0.0099837259100642,0.032824553890078496,ON,160053.79245170936
27,2022-06-30,2022-07-08,13.0,13.1,0.15114503816793892,13.91,0.061832061068702426,0.06946564885496184,0.08746282442748103,0.0057834351145039375,ON,160979.4531751841
28,2022-07-07,2022-07-15,13.5,13.71,0.14150255288110866,15.11,0.10211524434719177,0.11743253099927056,-0.010676294675419378,-0.03474631655725749,ON,155386.01013594496
29,2022-07-14,2022-07-22,14.0,14.07,0.1435678749111585,17.650000000000002,0.2544420753375978,0.2594171997157073,-0.09191577825159936,0.023933546552949478,ON,159104.94844321068
30,2022-07-21,2022-07-29,19.0,19.1,0.13664921465968588,19.83,0.038219895287957995,0.04345549738219886,0.06983717277486913,-0.02335654450261788,ON,155388.8066343101
31,2022-07-28,2022-08-05,19.5,19.37,0.12287041817243158,21.56,0.11306143520908618,0.106350025813113,-0.01411275167785227,-0.030633144037170865,ON,150628.7589389172
32,2022-08-04,2022-08-12,22.0,22.07,0.12460353420933394,21.6,-0.021295876755777043,0.01812415043044851,0.11238377888536474,0.0,off,150628.7589389172
33,2022-08-11,2022-08-19,20.0,19.78,0.12032355915065722,19.17,-0.030839231547017176,0.04196157735085936,0.11518579373104143,0.03682381193124358,ON,156175.4840295205
34,2022-08-18,2022-08-26,21.0,20.89,0.11967448539971277,15.98,-0.23504068932503586,0.24030636668262323,-0.0634218286261369,0.05721005265677355,ON,165110.29169454647
35,2022-08-25,2022-09-02,19.5,19.32,0.12577639751552794,12.86,-0.334368530020704,0.34368530020703936,-0.14683084886128367,0.07107805383022775,ON,176846.00989553606
36,2022-09-01,2022-09-09,13.0,13.22,0.14826021180030255,14.65,0.10816944024205744,0.12481089258698944,-0.028974962178517378,-0.05242428139183051,ON,167574.98490975003
37,2022-09-08,2022-09-16,13.5,13.65,0.14065934065934066,12.06,-0.11648351648351651,0.10549450549450545,0.09200915750915756,0.05684432234432236,ON,177100.67136880482
38,2022-09-15,2022-09-23,12.0,11.91,0.1570109151973132,10.03,-0.15785054575986568,0.165407220822838,-0.053048110831234285,-0.04465180520570947,ON,169192.80668904458
39,2022-09-22,2022-09-30,10.5,10.51,0.15223596574690773,8.860000000000001,-0.15699333967649842,0.15604186489058028,-0.027852806850618334,-0.024046907706945765,ON,165124.24288191402
40,2022-09-29,2022-10-07,9.5,9.29,0.16792249730893435,9.21,-0.008611410118406715,0.031216361679224883,0.1971940796555434,0.0,off,165124.24288191402
41,2022-10-06,2022-10-14,11.0,11.19,0.15907059874888294,6.930000000000001,-0.3806970509383377,0.36371760500446826,-0.12765093833780167,0.0,off,165124.24288191402
42,2022-10-13,2022-10-21,8.0,8.0,0.1775,8.58,0.07250000000000001,0.07250000000000001,0.09396387499999997,0.0,off,165124.24288191402
43,2022-10-20,2022-10-28,7.5,7.7,0.16103896103896104,9.5,0.23376623376623384,0.2597402597402597,-0.098227012987013,0.00047428571428569837,ON,165202.55895139516
44,2022-10-27,2022-11-04,8.5,8.52,0.1654929577464789,8.99,0.05516431924882648,0.0575117370892019,0.126444014084507,0.018462793427230017,ON,168252.65967096455
45,2022-11-03,2022-11-11,8.0,7.890000000000001,0.16730038022813684,13.22,0.6755386565272496,0.6615969581749049,-0.41066438529784555,0.0836321926489226,ON,182323.99851826028
46,2022-11-10,2022-11-18,12.0,12.08,0.1423841059602649,12.49,0.0339403973509933,0.04056291390728479,0.07164842715231783,-0.0301727649006623,ON,176822.77937522013
47,2022-11-17,2022-11-25,12.5,12.37,0.1196443007275667,12.86,0.039611964430072755,0.029102667744543207,0.05191729991915932,-0.038624333063864175,ON,169993.11745135346
48,2022-11-25,2022-12-02,13.0,12.86,0.10031104199066875,13.03,0.013219284603421366,0.0023328149300155024,0.12351951788491453,0.025541290824261285,ON,174334.96110230128
49,2022-12-01,2022-12-09,13.5,13.5,0.11259259259259259,12.32,-0.08740740740740738,0.08740740740740739,0.009750444444444457,-0.01543474074074075,ON,171644.14617564014
50,2022-12-08,2022-12-16,12.5,12.62,0.15768621236133123,11.11,-0.11965134706814584,0.11014263074484949,0.0420330427892234,-0.005510538827258348,ON,170698.29444366766
51,2022-12-15,2022-12-23,11.5,11.4,0.12280701754385964,9.77,-0.142982456140351,0.1517543859649123,-0.012184070175438546,0.01676329824561413,ON,173559.76086344454
52,2022-12-22,2022-12-30,10.0,9.78,0.11758691206543967,9.67,-0.011247443762781084,0.033742331288343565,0.045428425357873184,-0.03841615541922292,ON,166892.2621155913
53,2022-12-29,2023-01-06,9.5,9.67,0.12099276111685625,10.87,0.124095139607032,0.14167528438469484,0.019706204756980376,0.04038872802481898,ON,173632.8282996247
54,2023-01-05,2023-01-13,9.5,9.57,0.1452455590386625,12.95,0.35318704284221525,0.36050156739811906,-0.19229853709508876,0.0,off,173632.8282996247
55,2023-01-12,2023-01-20,12.8,12.82,0.1045241809672387,12.79,-0.002340093603744209,0.0007800312012481718,0.0712689547581903,-0.03247519500780022,ON,167994.0683408385
56,2023-01-19,2023-01-27,12.0,11.77,0.1112999150382328,14.98,0.2727272727272727,0.2531860662701785,-0.08666236193712835,0.055223789294817305,ON,177271.3373736721
57,2023-01-26,2023-02-03,15.0,15.24,0.13910761154855644,16.93,0.11089238845144345,0.12664041994750655,0.0542631233595801,0.0,off,177271.3373736721
58,2023-02-02,2023-02-10,18.0,17.92,0.12165178571428571,15.8,-0.11830357142857151,0.1227678571428571,0.0002821986607142163,0.0013982700892855961,ON,177519.21058240937
59,2023-02-09,2023-02-17,16.5,16.580000000000002,0.14113389626055486,15.5,-0.06513872135102539,0.060313630880579006,0.039210554885404106,-0.04160971049457175,ON,170132.6876228504
60,2023-02-16,2023-02-24,16.5,16.28,0.11302211302211301,14.31,-0.12100737100737102,0.13452088452088448,-0.020132125307125267,0.001366646191646196,ON,170365.19881246472
61,2023-02-23,2023-03-03,15.0,15.08,0.11007957559681698,15.68,0.039787798408488007,0.045092838196286456,0.013674933687002669,-0.051311803713527865,ON,161623.4531713834
62,2023-03-02,2023-03-10,15.0,15.010000000000002,0.11525649566955362,14.05,-0.06395736175882749,0.06329113924050628,0.05193271152564957,-3.264490339777118e-05,ON,161618.17698936778
63,2023-03-09,2023-03-17,15.0,14.91,0.13212608987256874,16.13,0.08182427900737754,0.0757880617035546,0.06609362843729061,0.0,off,161618.17698936778
64,2023-03-16,2023-03-24,16.5,16.42,0.1297198538367844,16.57,0.009135200974421442,0.004263093788063354,0.047542149817296035,0.0,off,161618.17698936778
65,2023-03-23,2023-03-31,17.5,17.490000000000002,0.12292738707833048,18.3,0.046312178387650116,0.0457404230989137,0.05117324185248713,0.0,off,161618.17698936778
66,2023-03-29,2023-04-06,17.0,17.080000000000002,0.1018735362997658,15.66,-0.08313817330210782,0.0784543325526932,0.013401229508196756,-0.010017974238875849,ON,159999.0902557542
67,2023-04-06,2023-04-14,15.5,15.66,0.09897828863346105,15.58,-0.005108556832694733,0.005108556832694768,0.025520306513409974,-0.06834942528735631,ON,149063.24439027355
68,2023-04-13,2023-04-21,15.5,15.67,0.09763880025526483,14.86,-0.05169112954690491,0.040842373962986636,-0.0009014677728143453,-0.05769789406509255,ON,140462.60910644455
69,2023-04-20,2023-04-28,15.0,15.2,0.09605263157894738,14.23,-0.06381578947368416,0.05065789473684208,0.04608447368421057,0.000689736842105281,ON,140559.4913428835
70,2023-04-27,2023-05-05,13.5,13.54,0.10782865583456426,14.47,0.06868537666174301,0.07163958641063521,0.01378286558345644,0.0,off,140559.4913428835
71,2023-05-04,2023-05-12,13.5,13.6,0.10661764705882354,14.02,0.03088235294117636,0.03823529411764703,0.026560147058823598,0.0,off,140559.4913428835
72,2023-05-11,2023-05-19,14.0,14.07,0.08457711442786069,17.39,0.2359630419331913,0.2409381663113007,-0.13196687988628292,0.0,off,140559.4913428835
73,2023-05-18,2023-05-26,17.5,17.67,0.09620826259196377,22.880000000000003,0.29485002829654783,0.3044708545557443,-0.05311980758347513,0.1551427843803054,ON,162366.28220089787
74,2023-05-25,2023-06-02,19.0,19.15,0.1143603133159269,22.02,0.14986945169712795,0.1577023498694517,0.02413984334203667,0.06748187989556145,ON,173323.0641554677
75,2023-06-01,2023-06-09,22.0,22.16,0.10830324909747294,22.4,0.010830324909747224,0.018050541516245425,0.020424729241877323,-0.06982797833935019,ON,161220.2649859099
76,2023-06-08,2023-06-16,22.5,22.28,0.09470377019748652,25.24,0.1328545780969479,0.12298025134649902,-0.007823877917414629,0.020452603231597873,ON,164517.63909855977
77,2023-06-15,2023-06-23,26.0,25.950000000000003,0.09518304431599227,21.89,-0.1564547206165704,0.15838150289017336,-0.07097094412331403,-0.0077724855491329336,ON,163238.92812608875
78,2023-06-22,2023-06-30,23.0,23.1,0.08744588744588744,24.83,0.07489177489177479,0.07922077922077914,0.028166277056277122,0.019941168831168823,ON,166494.10315167013
79,2023-06-29,2023-07-07,24.0,23.81,0.07853842923141538,22.96,-0.03569928601427963,0.04367912641747162,0.03208152036959253,-0.0027777824443512324,ON,166031.6187548474
80,2023-07-06,2023-07-14,23.0,22.98,0.08616187989556136,26.23,0.14142732811140113,0.14055700609225416,-0.05443346388163618,-3.833768494338648e-05,ON,166025.25348695694
81,2023-07-13,2023-07-21,27.5,27.28,0.0846774193548387,24.92,-0.08651026392961869,0.09457478005865096,0.04525065982404683,0.05514802052785908,ON,175181.21757439864
82,2023-07-20,2023-07-28,24.5,24.290000000000003,0.09921778509674763,28.15,0.15891313297653342,0.1502675998353231,-0.06500720461095087,-0.013957389872375395,ON,172736.14502239533
83,2023-07-27,2023-08-04,26.5,26.46,0.09372637944066516,24.880000000000003,-0.05971277399848818,0.06122448979591827,0.06309569160997733,0.03059380196523045,ON,178020.80043544783
84,2023-08-03,2023-08-11,25.0,25.15,0.09662027833001988,21.14,-0.15944333996023852,0.15347912524850893,-0.06419896620278329,-0.007340119284294235,ON,176714.1065251661
85,2023-08-10,2023-08-18,23.0,22.81,0.09469530907496714,20.15,-0.1166155195089873,0.12494519947391503,0.00385607189829011,0.034105962297237995,ON,182741.11117970353
86,2023-08-17,2023-08-25,20.0,19.91,0.11551983927674535,20.66,0.03766951280763431,0.03314917127071824,0.05165328980411858,0.0,off,182741.11117970353
87,2023-08-24,2023-09-01,20.5,20.41,0.10877021068103869,24.02,0.17687408133268012,0.17246447819696226,-0.0797195492405683,-0.016025281724644746,ON,179812.63339037416
88,2023-08-31,2023-09-08,24.0,23.86,0.08005029337803857,21.5,-0.09891031014249785,0.10477787091366304,-0.033215842414082195,-0.00848826487845772,ON,178286.33612966366
89,2023-09-07,2023-09-15,22.0,21.87,0.09327846364883402,19.790000000000003,-0.09510745313214441,0.10105166895290339,-0.0154111111111111,-0.007637905807041723,ON,176924.6018876227
90,2023-09-14,2023-09-22,21.5,21.65,0.08267898383371826,17.84,-0.1759815242494226,0.16905311778290996,-0.062309930715935435,0.024064203233256264,ON,181182.1514644094
91,2023-09-21,2023-09-29,17.5,17.42,0.1010332950631458,18.87,0.08323765786452353,0.07864523536165333,0.0006410447761193191,0.0,off,181182.1514644094
92,2023-09-28,2023-10-06,18.5,18.64,0.10032188841201717,19.47,0.04452789699570814,0.052038626609441994,0.030525912017167395,0.0,off,181182.1514644094
93,2023-10-05,2023-10-13,18.5,18.4,0.1016304347826087,18.98,0.03152173913043499,0.026086956521739157,0.04670836956521736,0.0,off,181182.1514644094
94,2023-10-12,2023-10-20,20.5,20.68,0.09235976789168279,16.64,-0.19535783365570591,0.1866537717601547,-0.07792533849129597,0.0,off,181182.1514644094
95,2023-10-19,2023-10-27,17.5,17.43,0.117039586919105,15.1,-0.13367756741250714,0.1376936316695353,-0.0013021227768216545,0.0,off,181182.1514644094
96,2023-10-26,2023-11-03,14.5,14.73,0.12695179904955872,18.380000000000003,0.24779361846571635,0.2634080108621862,-0.15987746096401917,0.0,off,181182.1514644094
97,2023-11-02,2023-11-10,17.0,17.080000000000002,0.08957845433255268,20.6,0.20608899297423888,0.21077283372365346,-0.12422903981264632,-0.003034660421545569,ON,180632.3251602699
98,2023-11-09,2023-11-17,18.5,18.39,0.09081022294725394,23.130000000000003,0.2577487765089723,0.2517672648178359,-0.10341625883632416,0.05754078303425781,ON,191026.0505912905
99,2023-11-16,2023-11-24,22.5,22.72,0.08714788732394367,23.09,0.016285211267605737,0.025968309859154926,0.01738745598591551,-0.04379212147887323,ON,182660.61457816733
100,2023-11-24,2023-12-01,23.0,23.09,0.06756171502815071,23.07,-0.0008661758336941938,0.0030316154179298523,0.011951710697271523,-0.052578388912949345,ON,173056.6137457981
101,2023-11-30,2023-12-08,23.0,22.81,0.08285839544059624,23.700000000000003,0.03901797457255607,0.03068829460762836,0.042111047786058765,-0.010059053046909117,ON,171315.82808801066
102,2023-12-07,2023-12-15,23.0,23.18,0.09447799827437446,30.57,0.31880931837791193,0.3265746333045729,-0.2141795944779982,0.017917040552200284,ON,174385.30072709732
103,2023-12-14,2023-12-22,30.0,30.19,0.08545876117919841,30.51,0.010599536270288201,0.01689301093077183,0.06088935077840342,0.0,off,174385.30072709732
104,2023-12-21,2023-12-29,30.5,30.26,0.0760079312623926,31.4,0.037673496364837966,0.029742233972240534,0.021335971579643207,-0.02492972571050885,ON,170037.92301202618
105,2023-12-28,2024-01-05,32.0,32.22,0.07107386716325265,25.93,-0.19522036002482923,0.1883923029174426,-0.07218736809435142,0.04513106765983854,ON,177711.91602022035
106,2024-01-04,2024-01-12,25.5,25.58,0.08717748240813136,28.1,0.0985144644253324,0.10164190774042227,-0.0070524237685692616,0.007412001563721648,ON,179029.1170196542
107,2024-01-11,2024-01-19,28.5,28.46,0.08222066057624736,34.86,0.22487702037947987,0.2234715390021082,-0.113435523541813,0.027815354884047842,ON,184008.8754441336
108,2024-01-18,2024-01-26,31.0,31.19,0.08816928502725233,34.010000000000005,0.0904135941006734,0.0965052901571018,0.026963578069894047,0.03529958319974352,ON,190504.312052365
109,2024-01-25,2024-02-02,37.0,37.120000000000005,0.11260775862068963,33.65,-0.09348060344827602,0.09024784482758623,0.02285996767241366,0.0,off,190504.312052365
110,2024-02-01,2024-02-09,32.5,32.45,0.09583975346687211,39.32,0.21171032357473019,0.21016949152542372,-0.12069562403697998,-0.006365885978428368,ON,189291.58332344072
111,2024-02-08,2024-02-16,37.0,37.15,0.09825033647375504,38.33,0.03176312247644675,0.03580080753701207,0.04051324360699871,-0.021936285329744266,ON,185139.22914113867
112,2024-02-15,2024-02-23,39.0,39.11,0.12554333929941192,40.17,0.027103042700076685,0.029915622602914898,0.07986284837637435,0.0,off,185139.22914113867
113,2024-02-22,2024-03-01,41.0,41.42,0.10236600676001932,48.330000000000005,0.16682761950748448,0.17696764847899576,-0.05882675036214389,0.015774891356832573,ON,188059.78036672785
114,2024-02-29,2024-03-08,43.0,42.84,0.10434173669467786,48.95,0.14262371615312786,0.13888888888888895,0.02068340336134452,0.05523055555555561,ON,198446.426514038
115,2024-03-07,2024-03-15,55.0,55.32,0.1473246565437455,42.74,-0.22740419378163412,0.22161966738973243,-0.06576876355748376,0.0,off,198446.426514038
116,2024-03-14,2024-03-22,44.0,43.53,0.1456466804502642,46.43,0.06662072134160346,0.0558235699517574,0.02053586032621183,-0.06928725017229494,ON,184696.61931436192
