strategy,legs,n,win%,avg_prem,avg_pnl,med_pnl,worst,p05,capture,wk_yield_on_spot,ann_yield,sum_pnl_per_share
short_put,put10%,119.0,0.8823529411764706,0.3788235294117647,-0.00571428571428563,0.19,-9.746,-2.435799999999998,-0.015084294587399953,-0.0017952487222522172,-0.0933529335571153,-0.67999999999999
short_put,put50%,119.0,0.6722689075630253,2.8766218487394957,-0.8212773109243696,0.9440000000000001,-62.88000000000001,-10.354000000000001,-0.2855006163859335,-0.0028647309444396114,-0.1489660091108598,-97.73199999999999
short_put,put15%,119.0,0.8319327731092437,0.6099663865546219,-0.22036974789915945,0.28600000000000003,-18.340000000000003,-4.229799999999997,-0.3612817898768354,-0.0030011961731387965,-0.1560622010032174,-26.223999999999975
short_put,put20%,119.0,0.7983193277310925,0.8491596638655462,-0.43394957983193266,0.388,-28.140000000000008,-5.872799999999998,-0.5110341415141018,-0.004362686412651704,-0.2268596934578886,-51.639999999999986
short_call,call10%,119.0,0.8991596638655462,0.26166386554621845,-0.2874957983193277,0.14400000000000002,-22.88,-1.3117999999999979,-1.0987218189992933,-0.004576515872223362,-0.23797882535561482,-34.211999999999996
short_put,put40%,119.0,0.7142857142857143,2.088201680672269,-0.7961680672268905,0.784,-54.760000000000005,-9.845999999999998,-0.3812697186272615,-0.004581985304928024,-0.23826323585625725,-94.74399999999997
short_put,put30%,119.0,0.7563025210084033,1.4116638655462186,-0.6646386554621847,0.586,-42.67,-7.514599999999998,-0.4708193442388741,-0.004793564854726446,-0.24926537244577518,-79.09199999999998
short_put,put25%,119.0,0.773109243697479,1.108689075630252,-0.5936638655462184,0.492,-35.64000000000001,-6.745599999999997,-0.5354647020479936,-0.004918587696635701,-0.25576656022505645,-70.64599999999999
short_call,call15%,119.0,0.8235294117647058,0.43278991596638655,-0.3521680672268908,0.232,-27.427999999999997,-2.2027999999999976,-0.8137159721952547,-0.006267132795027576,-0.32589090534143395,-41.90800000000001
strangle,put15%/call10%,119.0,0.7563025210084033,0.8716302521008403,-0.507865546218487,0.368,-21.263999999999996,-6.165799999999999,-0.5826616790713812,-0.007577712045362158,-0.3940410263588322,-60.43599999999995
short_call,call20%,119.0,0.773109243697479,0.6261176470588236,-0.4384201680672269,0.314,-30.854,-3.853399999999999,-0.7002201105921511,-0.008413731329593471,-0.4375140291388605,-52.172
strangle,put20%/call10%,119.0,0.7142857142857143,1.1108235294117645,-0.7214453781512603,0.442,-25.586000000000006,-7.139399999999986,-0.6494689381789571,-0.008939202284875068,-0.4648385188135036,-85.85199999999998
short_call,call25%,119.0,0.7478991596638656,0.8495294117647059,-0.47752941176470587,0.444,-34.132,-4.420799999999999,-0.5621105110095554,-0.009158962784465041,-0.47626606479218214,-56.826
strangle,put15%/call15%,119.0,0.7394957983193278,1.0427563025210085,-0.5725378151260502,0.386,-25.811999999999998,-5.900199999999999,-0.5490619560312034,-0.009268328968166371,-0.48195310634465127,-68.13199999999998
strangle,put30%/call10%,119.0,0.6890756302521008,1.6733277310924368,-0.9521344537815123,0.63,-40.11600000000001,-9.868199999999995,-0.56900655866135,-0.009370080726949807,-0.48724419780138994,-113.30399999999996
strangle,put25%/call10%,119.0,0.6974789915966386,1.3703529411764706,-0.881159663865546,0.518,-33.086000000000006,-9.942999999999993,-0.6430165816326529,-0.009495103568859065,-0.4937453855806714,-104.85799999999998
short_call,call30%,119.0,0.7394957983193278,1.1078991596638654,-0.4452941176470589,0.528,-36.442,-5.1798,-0.4019265776699031,-0.009541313283513207,-0.49614829074268674,-52.99000000000001
short_call,call40%,119.0,0.680672268907563,1.6498823529411764,-0.43885714285714267,0.66,-39.96,-5.926599999999999,-0.26599299160622597,-0.010564651194697698,-0.5493618621242803,-52.223999999999975
strangle,put20%/call15%,119.0,0.680672268907563,1.2819495798319327,-0.7861176470588233,0.454,-25.037999999999997,-7.0383999999999975,-0.6132204100896742,-0.01062981920767928,-0.5527505987993225,-93.54799999999997
strangle,put30%/call15%,119.0,0.6722689075630253,1.8444537815126052,-1.0168067226890753,0.5960000000000001,-38.64,-11.477599999999995,-0.5512779625495465,-0.011060697649754014,-0.5751562777872087,-120.99999999999997
strangle,put25%/call15%,119.0,0.6722689075630253,1.5414789915966385,-0.9458319327731093,0.518,-31.610000000000007,-10.795799999999987,-0.6135873002027956,-0.011185720491663276,-0.5816574655664903,-112.554
strangle,put15%/call20%,119.0,0.6722689075630253,1.236084033613445,-0.6587899159663866,0.42600000000000005,-29.238,-6.289999999999998,-0.5329653146967247,-0.011414927502732266,-0.5935762301420778,-78.396
short_call,call50%,119.0,0.6302521008403361,2.340218487394958,-0.4663361344537815,0.784,-42.419999999999995,-6.616999999999998,-0.19927034034026847,-0.012445044904017117,-0.6471423350088901,-55.494
strangle,put15%/call30%,119.0,0.6386554621848739,1.7178655462184875,-0.6656638655462183,0.578,-34.826,-7.9372000000000025,-0.38749474137340634,-0.012542509456652001,-0.6522104917459041,-79.21399999999997
strangle,put20%/call20%,119.0,0.6134453781512605,1.4752773109243698,-0.8723697478991596,0.5,-28.464,-7.0474,-0.5913259435628111,-0.012776417742245172,-0.6643737225967489,-103.81199999999998
strangle,put30%/call20%,119.0,0.5882352941176471,2.0377815126050423,-1.1030588235294116,0.54,-37.13000000000001,-12.232799999999996,-0.5413037740828713,-0.01320729618431991,-0.6867794015846354,-131.26399999999998
strangle,put25%/call20%,119.0,0.6050420168067226,1.734806722689076,-1.0320840336134451,0.524,-30.100000000000005,-9.789599999999986,-0.5949273888065411,-0.013332319026229167,-0.6932805893639167,-122.81799999999997
strangle,put20%/call30%,119.0,0.5714285714285714,1.9570588235294122,-0.8792436974789914,0.5660000000000001,-34.052,-11.3692,-0.4492678947142426,-0.013903999696164912,-0.7230079842005754,-104.62999999999998
strangle,put30%/call30%,119.0,0.5462184873949579,2.519563025210084,-1.1099327731092434,0.5039999999999982,-32.53,-11.537199999999988,-0.4405259015168696,-0.014334878138239648,-0.7454136631884617,-132.08199999999997
strangle,put25%/call30%,119.0,0.5546218487394958,2.2165882352941177,-1.0389579831932771,0.5440000000000002,-33.394,-11.014800000000012,-0.4687194340609764,-0.014459900980148903,-0.7519148509677429,-123.63599999999998
straddle,put50%/call50%,119.0,0.5126050420168067,5.216840336134454,-1.2876134453781511,0.0720000000000014,-41.21000000000001,-13.682800000000011,-0.24681864163246373,-0.015309775848456728,-0.7961083441197498,-153.226
